"species_code","common_name","scientific_name"
"yebsap-example","Yellow-bellied Sapsucker","Sphyrapicus varius"
"abetow","Abert's Towhee","Melozone aberti"
"absfin1","Ash-breasted Sierra Finch","Geospizopsis plebejus"
"acafly","Acadian Flycatcher","Empidonax virescens"
"acowoo","Acorn Woodpecker","Melanerpes formicivorus"
"adewar1","Adelaide's Warbler","Setophaga adelaidae"
"afcdov1","African Collared-Dove","Streptopelia roseogrisea"
"affeag1","African Fish-Eagle","Icthyophaga vocifer"
"afmhar1","African Marsh Harrier","Circus ranivorus"
"afpswi1","African Palm Swift","Cypsiurus parvus"
"afrhae1","African Hawk-Eagle","Aquila spilogaster"
"afrjac1","African Jacana","Actophilornis africanus"
"afrski1","African Skimmer","Rynchops flavirostris"
"afrspo1","African Spoonbill","Platalea alba"
"agaher1","Agami Heron","Agamia agami"
"aldfly","Alder Flycatcher","Empidonax alnorum"
"alepar2","Alexandrine Parakeet","Psittacula eupatria"
"aleter1","Aleutian Tern","Onychoprion aleuticus"
"allhum","Allen's Hummingbird","Selasphorus sasin"
"alpacc1","Alpine Accentor","Prunella collaris"
"alpswi1","Alpine Swift","Tachymarptis melba"
"altori","Altamira Oriole","Icterus gularis"
"altyel1","Altamira Yellowthroat","Geothlypis flavovelata"
"amakin1","Amazon Kingfisher","Chloroceryle amazona"
"ambduc","American Black Duck","Anas rubripes"
"ameavo","American Avocet","Recurvirostra americana"
"amebit","American Bittern","Botaurus lentiginosus"
"amecro","American Crow","Corvus brachyrhynchos"
"amedip","American Dipper","Cinclus mexicanus"
"amegfi","American Goldfinch","Spinus tristis"
"amekes","American Kestrel","Falco sparverius"
"ameoys","American Oystercatcher","Haematopus palliatus"
"amepip","American Pipit","Anthus rubescens"
"amered","American Redstart","Setophaga ruticilla"
"amerob","American Robin","Turdus migratorius"
"amewig","American Wigeon","Mareca americana"
"amewoo","American Woodcock","Scolopax minor"
"amgplo","American Golden-Plover","Pluvialis dominica"
"amhgul1","American Herring Gull","Larus smithsonianus"
"ampkin1","American Pygmy Kingfisher","Chloroceryle aenea"
"amthum1","Amethyst-throated Mountain-gem","Lampornis amethystinus"
"amtspa","American Tree Sparrow","Spizelloides arborea"
"amufal1","Amur Falcon","Falco amurensis"
"amupaf1","Amur Paradise-Flycatcher","Terpsiphone incei"
"amwpel","American White Pelican","Pelecanus erythrorhynchos"
"anchum1","Antillean Crested Hummingbird","Orthorhyncus cristatus"
"ancmur","Ancient Murrelet","Synthliboramphus antiquus"
"andavo1","Andean Avocet","Recurvirostra andina"
"andcon1","Andean Condor","Vultur gryphus"
"andduc1","Andean Duck","Oxyura ferruginea"
"andeme1","Andean Emerald","Uranomitra franciae"
"andfla2","Andean Flamingo","Phoenicoparrus andinus"
"andfli1","Andean Flicker","Colaptes rupicola"
"andgoo1","Andean Goose","Oressochen melanopterus"
"andgua1","Andean Guan","Penelope montagnii"
"andgul1","Andean Gull","Chroicocephalus serranus"
"andhil3","Andean Hillstar","Oreotrochilus estella"
"andlap1","Andean Lapwing","Vanellus resplendens"
"andneg1","Andean Negrito","Lessonia oreas"
"andsol1","Andean Solitaire","Myadestes ralloides"
"andswa2","Andean Swallow","Orochelidon andecola"
"andswi1","Andean Swift","Aeronautes andecolus"
"andtin1","Andean Tinamou","Nothoprocta pentlandii"
